,0,1
"-0.2,-0.5",-0.003454629069981968,-0.001800544276288326
"0.2,0.6",-0.005755886749615788,-0.00017023348284428929
"-0.1,0.2",-0.010447121612979287,-0.0017315979621150056
"-0.2,-0.1",-0.004100674414469886,-0.00025753063129994196
"1.1,1.6",-0.00502875967722289,-0.0028974671735716483
"-1.1,-2.2",-0.0011109791729210924,0.0179179520689239
"0.1,-0.0",0.0045790343772649615,-0.006274177457638633
"0.2,-0.0",-0.0007716743829225842,-0.004226317349226718
"0.3,0.3",-0.012576730568474912,-0.0037919976312531956
"0.0,0.5",-0.0003997011977583308,-0.00456808246934368
"0.8,0.8",-0.010004342569952692,0.009344132649825043
"0.0,0.7",0.0022001557404531837,-0.006284718802021574
"0.6,0.6",-0.015479002611908377,0.005510151774772255
"-0.2,-0.3",-0.007206049552280444,-0.00485671727980478
"-0.2,2.5",0.0024151890104543777,0.0
"-0.8,-3.8",0.005377209306289612,-0.00033179404293318544
"0.1,0.9",-0.012652051521047144,-0.010027569577962681
"0.0,-0.8",-0.010814692445606663,0.011159765526015547
"-0.4,-0.9",0.00342401808890344,-0.005745858383387008
"-0.0,0.4",0.0008766298375022775,-0.011577277818971415
"-0.6,-0.3",-0.007349796871215763,0.003922357683706091
"0.8,1.4",-0.009455092449073636,-0.0020866621954395807
"-0.0,0.8",-0.005356287091499649,0.00041280477778744677
"0.3,0.4",-0.002833554551959676,0.002297948324184074
"-0.2,-0.0",-0.00943788455977899,0.0013113096028370599
"0.5,0.7",-0.0008996158419654178,-0.0069892869003947205
"-0.3,0.1",0.0005734898691388526,-0.010433935932417638
"0.2,0.7",0.003704530596311214,-0.011066553352637227
"0.8,0.6",-0.005216133256240887,-0.003750282571863851
"0.3,0.1",0.004174564738948816,-0.011357610789955574
"-1.5,-0.7",-0.0012185495806610663,0.01077948677262873
"0.1,1.6",0.005374640383853154,-0.013864215738727221
"-0.2,-0.7",-0.0004451946029267939,-0.007762174992189752
"-0.4,-0.5",-0.013854259164019963,0.00029833650068737086
"-0.9,-1.3",-0.003208252522718347,-0.007951681919079086
"-0.1,-2.8",0.007881437363656525,-0.0007831759351232504
"-0.0,0.2",-0.006540715966235094,-0.0026610382789331046
"-0.1,0.0",0.0005361993038673368,-0.006146511543332272
"0.2,-0.9",-0.009210370532144765,0.011763975339497131
"0.9,0.7",0.003857839166591546,-0.010454857586818564
"0.9,-0.2",0.01302092216137132,-0.0032497846586907377
"-0.4,-1.3",-0.010010342389016807,0.00515236487741865
"-0.2,-0.4",-0.0005598952634896987,-0.008242858476143651
"0.4,0.1",0.0011391422099442511,-0.0035232906298139875
"1.0,0.5",-0.0010604100403317405,0.0011409831431670086
"0.4,0.4",0.011383129310693385,-0.011732218295749912
"0.5,0.5",0.0021865671260039798,-0.011005302814390522
"-1.0,-1.1",-0.0039048595939353125,0.0019708229331535623
"0.4,1.3",-0.006605543559787071,0.0031046277641474194
"-0.9,-0.8",0.014077364945439465,-0.028986097101492782
"-0.2,0.7",0.0011696769530798968,-0.14081164962432158
"0.3,-0.9",0.014248802658528844,-0.008767568947201874
"-0.6,-0.9",-0.01518591654552796,-0.0015702476956362366
"-0.4,-0.4",0.0013041265090624108,-0.01054083365733581
"1.0,0.8",-0.003640359896422353,0.017251174995192874
"-4.1,-3.8",0.03986999300813008,0.0
"-2.8,1.3",-0.007276487663280136,0.005373490361618194
"-0.6,-0.5",-0.00939754706434361,-0.011408407730315916
"-0.9,-0.2",-0.00909018397792996,0.013483327242041196
"-2.8,-2.4",-0.0007183098591549368,0.0007183098591549368
"0.5,3.4",0.014434880499594733,-0.0004077506904669601
"-0.0,-0.5",-0.0009708594074358369,-0.008136056977139917
"-0.0,0.6",0.0057794708007751555,-0.0018173436913856275
"0.4,0.0",-0.01727114042235356,-0.0038270530969202565
"-0.1,-0.5",-0.002940300731184297,0.005784817513457392
"-0.4,-1.2",-0.004683408346871509,-0.006768973666625098
"0.6,0.4",-0.009622162649776445,-0.003142814508188885
"0.1,-0.5",-0.0027773141534160398,-0.00830430793004442
"0.5,-0.5",-0.0029928785024873825,-0.0004894133648936133
"-0.5,-1.0",0.0014071312817184566,-0.01510396390998051
"-0.2,0.0",-0.0070031353661532385,-0.015119969157477065
"0.9,1.2",-0.0017537120646720873,-0.004722473384669435
"-0.5,-0.6",-0.002966878827615017,-0.006080205125222712
"-0.7,-0.6",-0.00646026374708069,0.01203497248285549
"-0.5,-0.8",0.0031201326401390423,-0.015851087125658737
"-0.4,0.1",-0.0051934741080996326,-0.007933774799227033
"-0.2,-0.8",0.0034191244385672706,-0.005468723259309332
"0.3,0.8",-0.009600934021179158,0.0034915527956390496
"0.9,1.1",-0.00998355279657855,-0.002635668023056855
"0.5,0.8",0.005234041128256827,-0.007194429111428548
"0.0,-0.3",0.011231417391160035,-0.0077690347526882045
"-0.1,0.3",-0.014272946494611983,-0.0032507982278465334
"0.8,0.5",-0.0015919307588105028,-0.0012408113321101992
"-0.5,-1.2",-0.005905184973835638,-0.004080417820585775
"-0.4,-0.2",-0.013012217461087435,0.0025953350912338285
"-0.0,-0.3",-0.002460731899630593,-0.002261265744952406
"-0.4,-1.1",0.006847253738959058,-0.00452052032799123
"0.7,1.2",-0.0031848355370468363,-0.007656157824279772
"0.1,0.4",-0.0051726113169572405,0.003772051036515454
"-0.1,0.4",-0.0039216903764882766,-0.0015452025864476126
"1.4,1.5",-0.008113589212656688,0.011095110965308838
"-0.9,-1.1",-0.003103084849900806,-0.0020947020925525498
"0.9,0.8",0.002298122535839156,-0.007128870512313488
"-0.6,-0.6",-0.005796274449220059,-0.004991054301948641
"-0.0,0.3",-0.0023118222942351044,-0.005719360206064888
"-0.6,-0.8",0.008355375914742596,-0.006056322462884239
"-0.5,-0.4",-0.008014972249449111,0.0031884243165288787
"-0.3,-0.9",0.007683709772777249,-0.00541383474104856
"-1.2,-1.3",-0.008844841555845803,0.015011185764442101
"0.7,-0.2",-0.010034093310765229,-0.0038775280581851805
"-0.0,-0.7",0.012411058646745523,-0.013479044253477254
"-0.7,-0.9",-0.006403599930558761,-0.02895754204110705
"-0.7,-0.8",-0.010685598309032209,0.007400311578065957
"-0.5,0.2",-0.007544850080549733,0.0015328386767830776
"-0.4,0.0",-0.004021367270856673,0.005569160547389518
"-0.3,0.0",-0.004954861278199539,-0.008664296524258064
"-1.8,-1.5",-0.00022694696607738796,0.009507854283358246
"0.1,-1.3",-0.011711164680463576,-0.006521339736878297
"1.2,1.1",-0.011162026691409338,-0.005533042122661876
"-0.3,-0.1",-0.011035359053267552,0.003855328558054623
"0.4,0.2",0.0024888204393294085,-0.00689064025614721
"0.7,0.7",0.005775083685150191,-0.008347229582672266
"0.2,-0.5",0.005676008408775257,-0.007347703238908823
"0.9,1.8",-0.0016286835662598807,0.011192675840554613
"-0.3,0.2",-0.0027415680132092295,-0.010751996859701646
"-0.6,-0.4",-0.0059883387982297715,-0.022697000373424227
"0.0,0.4",-0.0014566643712404228,-0.01615675157516236
"-0.5,-1.3",0.0025137278551595555,-0.003759315098846267
"0.6,1.0",-0.015465047462756473,0.010760521114864583
"0.0,-0.5",0.005910992723007766,-0.00800081757488752
"-0.5,-0.2",-0.005117582093621129,0.006827136653681112
"0.4,6.6",-0.0003208556149732742,0.0018273779358289463
"-1.2,-1.5",-0.008418252290032022,-0.00019960173086858244
"-0.2,1.0",-0.003490290336400032,-0.012941756257095425
"-0.5,0.0",-0.014564304145758412,0.0029543084406357476
"-0.7,0.1",0.017030995326925903,-0.0013732521485388931
"-0.8,0.4",0.004918327460046678,-0.0013416474941724491
"0.0,-0.6",-0.01180074701329861,-0.0015398147964292902
"-0.6,-0.1",-0.00520443823876207,0.007656208547325057
"0.2,0.8",-0.008095713319229241,-0.007243688340962243
"-11.6,-12.6",0.0092561076604555,0.0
"-0.4,11.2",0.008536524822695029,0.0
"-0.7,-1.5",-0.0004499289652415317,0.007339244244268166
"-0.3,-0.5",-0.006804730166842559,-0.005639411751688194
"-26.1,-25.4",0.0014002442996742374,0.0
"-0.7,-1.0",-0.014999994117280343,0.00832553900349933
"-0.2,-0.6",-0.0026420499619297677,-0.01203195750423238
"0.1,-1.4",-0.004254427557709262,-0.006285542956582225
"-4.5,-5.7",-0.002745486025228789,0.009441726440761807
"1.1,5.6",0.012818480700109868,-0.0023980815347721743
"0.4,-0.5",-0.013297369627154214,-0.0006236722032453316
"1.1,0.7",0.00922448248291932,-0.023566927344116674
"-0.4,-0.3",-0.0019109333980637314,-0.009128386869125414
"-0.6,-1.8",-0.0013302833402691404,-0.008568004050431958
"0.6,1.2",-0.003176270367534791,-0.006498699780830977
"0.4,-0.2",0.010728524036931857,-0.012051585561960895
"2.2,2.6",0.0013799444873591508,-0.0016857483513463094
"0.4,-1.8",-0.007063889624121649,0.00019822364270347787
"-0.6,-1.0",-0.008316426567783052,-0.00026517729265292545
"-0.3,-0.7",-0.01141235334312186,-0.004767834193992066
"0.1,-0.6",0.007074404609099988,-0.006096369369425224
"0.5,2.7",0.026829576650184934,0.0
"-2.0,-2.4",-0.0036059669239005346,-0.000674957129780036
"-0.8,-1.8",0.0016711109081505998,-0.004407549240029875
"0.2,1.0",-0.007386367265189863,7.793681267339553e-05
"0.4,0.3",-0.0068319709048847484,-0.031123902740878947
"-0.4,-2.2",-0.004753145703493426,0.005965073849238795
"-1.1,-0.7",-0.020073437523895617,0.0050761018889480545
"-1.6,-0.9",0.000705794772745327,-0.005279793242037048
"0.7,0.6",0.0032358394261978118,-0.009525347294889297
"-1.2,-1.0",-0.004758187201813141,-0.020993046747420342
"0.2,1.3",-0.0004712581622204774,-0.005697082125316482
"0.2,3.2",-0.001616438356164393,0.0052612638346900865
"-0.4,0.2",-0.022323138751082515,-0.0009671287391672906
"-1.2,1.8",-0.0018742985409652098,0.010674744773288452
"1.7,2.9",-0.006922066511504661,-0.005942322539490326
"0.9,1.5",-0.012072445871348859,0.004730498530455191
"-0.3,-1.1",-0.004259932187216277,0.007558078821148691
"1.5,2.9",-0.008599302991112301,0.02547528163511223
"5.3,3.7",0.00959896918521769,0.0
"0.3,1.7",0.0037627516568784305,0.000961991044760459
"0.7,1.3",-0.005075286160449958,0.010840875867951965
"-1.2,-1.9",0.01326405168411864,0.001196769273199132
"-1.0,-0.9",-0.0010505901525095437,-0.007575665462117593
"0.8,1.1",-0.007710883159389727,-0.006052786917337215
"-0.5,1.2",-0.0032090761750405137,0.003893502615720537
"1.0,1.5",-0.0071902538206752185,-0.005061172752842785
"1.4,2.3",-0.003844434866629352,-0.00015455716024446228
"0.5,0.3",-0.008663301202729814,-0.005706733590688434
"-0.8,-1.0",-0.008097523350299018,0.0009634801272055661
"0.7,0.8",0.007106962496733162,0.004067354788187316
"2.7,1.9",0.006908686446511165,0.00015867978419548449
"0.5,-0.7",-0.0015495685222251807,0.01475683005947553
"0.3,1.0",-0.0037351617263310442,0.0061867655265184
"-0.2,0.5",-0.004144749096132806,-0.0036612998732674625
"1.6,1.0",-0.0034695202079644254,0.010730598089720607
"1.0,-0.6",-0.005433675276661731,0.013400059941315878
"-3.1,-0.7",-0.00020129784134551284,0.0005527247781750644
"0.1,3.2",0.016024975335098453,0.0
"-0.4,-0.8",0.001924940710684376,-0.006774015696034797
"2.1,1.7",0.018001440792261424,0.0
"-1.0,-3.1",-0.004443929206275602,0.0014136307323691396
"0.6,0.9",-0.010558614547888954,-0.00206587348023547
"0.2,-0.3",-0.006708845068733199,0.002906012982584727
"-0.6,0.3",-0.002181218388805973,0.01103141607576231
"-1.6,-1.7",0.002898681820740697,-0.00925788196243145
"0.7,0.9",0.005293893066829711,-0.006944553016838464
"0.8,0.1",0.0021637604828377848,-0.01272349841828088
"-0.8,-1.6",-0.008453378959406897,0.000638987597587876
"-0.3,0.7",-0.010152819454770763,-0.005258219043296017
"-0.6,-1.3",-0.0075735238663496365,-0.009835058033440215
"1.2,1.0",-0.017148573812058813,-0.01015228630187709
"1.0,0.7",-0.008985287682204635,-0.0001340075865561393
"-0.1,-1.1",-0.008814364709485715,-0.005057291441898691
"-0.1,1.1",-0.006494970974315328,0.0026845905404272036
"0.5,1.0",-0.00650492845044065,0.005360620603851934
"1.5,1.0",0.01736171054860217,-0.001066711818489676
"0.3,-0.1",-0.00956442484367547,-0.004248572105826818
"-0.4,-0.7",-0.007646073534872459,-0.0008593021498491526
"0.4,0.6",0.0004600605595462998,-0.010360204958899534
"-1.0,-0.8",-0.013216172626039068,0.008181223144069725
"0.5,0.0",-0.036347308158818974,0.03269874425521126
"-0.8,0.1",-0.01750409511527825,0.012285344349525556
"1.0,1.8",-0.0099380875324288,0.010499639355778217
"0.3,-0.2",0.006058218425544434,-0.01188798523419401
"1.0,1.0",-0.014113342885876755,-0.011640259378177878
"-1.0,-2.0",0.003798997538672944,-0.004100349947435445
"-1.4,-2.7",0.0019371800585288217,-0.015304127904209694
"0.5,1.9",-0.01395335412917033,0.003944380173917583
"0.7,0.5",-0.012760500528085921,0.00019557100031915298
"0.1,-0.7",-0.00431807528548674,0.001663278510511139
"0.8,2.9",0.014265899097910538,0.0
"-0.7,-1.4",0.001992383830981436,-0.006575924745820717
"0.1,1.2",-0.008590896342647848,0.008425876715179532
"2.6,2.5",0.014185539620105495,-0.00822273052739382
"-4.3,-0.7",0.04265844082412146,0.0
"-4.5,-0.2",-0.0008080808080808241,0.0008080808080808241
"0.6,0.8",-0.008885353713660251,0.004815284914760193
"-1.3,-1.3",-0.00411638104697291,0.0002943995407425595
"1.5,2.5",0.019217359524355625,-0.004510822869940567
"2.2,1.8",0.0028824979259734953,-0.0009853842527109804
"-0.2,-2.4",0.0007004066675425783,-0.0009015100292990729
"0.4,0.9",-0.01333901828569682,0.005628232326968844
"-1.4,-0.7",-0.0007066809857823586,0.036511834561704926
"0.2,1.5",-0.008814389641099908,-0.003976821781649643
"-0.9,-0.9",-0.00348117253758624,-0.012790376850151997
"0.5,1.4",-0.0011043145333269337,0.004343610829602301
"-0.1,-1.2",-0.011183256179508121,0.011828320770047182
"-0.1,-0.8",-0.01240629358366158,-0.013156370141851656
"1.1,1.3",-0.00896287538923571,-0.006526628343752724
"-0.3,-0.8",0.008599160386633732,-0.012375492101310101
"-1.3,-1.4",-0.014395170639898203,0.0005084842912436286
"0.3,1.6",-0.009396643335345215,0.010168521186165659
"-0.8,-0.3",-0.014241272827149282,-0.0031654740978136787
"0.6,0.7",-0.0014466151947321398,-0.020200585488748177
"-1.0,-2.2",-0.006117044948820654,0.017310857950462496
"4.4,5.5",0.0047000279279278846,0.0
"0.5,1.6",-0.002816660324442559,0.000650276550063117
"-0.0,-0.6",-0.0008204377772256536,-0.006166448295101575
"-1.2,-0.7",-0.011545993984322003,0.004390856813667155
"-0.5,0.7",-0.0007245951307542438,-0.0063031634113964756
"-0.9,-1.0",-0.01444143023936289,0.015012857410812853
"-0.2,0.3",-0.008650605502832817,-0.006435927375492024
"-0.6,1.4",0.011852525689102394,0.0
